K,rep,seed,n,m,rho_n,num_hyperedges_total,theta_nnz,theta_density,generation_wall_sec,hypergraph_laplacian_build_wall_sec,num_isolated_nodes,isolated_fraction,hypergraph_degree_mean,hypergraph_degree_max,expected_hyperedges_total,expected_hyperedges_per_n,expected_degree_mean,candidate_within_fraction,p_in,p_out,sampling_mode,method,method_key,misclassification_rate,ARI,NMI,metric_wall_sec,non_random_eigensolver,eigen_decomposition_wall_sec,embedding_normalize_wall_sec,kmeans_wall_sec,spectral_clustering_wall_sec,top_eigenvalue_max,top_eigenvalue_min,algorithm_total_wall_sec,cpu_time_sec,wall_clock_sec,peak_traced_memory_mb,rss_before_mb,rss_after_mb,rss_delta_mb,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eig_sec,rp_core_eigensolver,rp_lift_sec,rs_sample_matrix_wall_sec,rs_eigensolver,rs_eig_wall_sec,rs_original_upper_nnz,rs_sampled_upper_nnz,rs_sampling_probability,rs_sampled_theta_nnz,cs_draw_hash_sec,cs_embedding_dim,cs_bucket_min_load,cs_bucket_max_load,cs_empty_buckets,cs_initial_multiply_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_small_eig_sec,cs_core_eigensolver,cs_lift_sec,cs_hash_seed,cs_sparse_explicit_sketch_sec
2,1,20460507,5000,3,16.0,159614,936800,0.037472,1.951577000087127,0.332537499954924,0,0.0,95.7684,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0383967000525444,eigsh,0.0163233000785112,8.450006134808064e-05,0.7892906999913976,0.8057067000772804,1.0000000000000002,0.7820498586511729,3.089813000173308,0.796875,0.8584024999290705,32.203402519226074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,20460507,5000,3,16.0,159614,936800,0.037472,0.8422391659987625,0.1779393339966191,0,0.0,95.7684,132.0,159840.03840000002,31.968007680000003,95.90402304000001,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.025655416990048252,,0.3252534580096835,0.00011987499601673335,0.1851697910024086,0.5105528749991208,0.9999996752608253,0.7820299301207719,1.5307216240034904,2.3604969999999996,0.5425811250024708,35.8632755279541,322.984375,374.640625,51.65625,0.0033429159957449883,0.2196866250014864,0.05856695798865985,0.041409457990084775,0.0015310419985326007,eigsh,0.0003726670111063868,,,,,,,,,,,,,,,,,,,,,
2,1,20460507,5000,3,16.0,159614,936800,0.037472,1.951577000087127,0.332537499954924,0,0.0,95.7684,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0380366999888792,,0.0377951000118628,0.0001450999407097,0.0373910000780597,0.0753385999705642,1.050363839833892,0.8498454933955852,2.3594457000726834,0.640625,0.1328374999575317,41.305057525634766,,,,,,,,,,,0.0255842999322339,eigsh,0.0119533999823033,470900.0,329453.0,0.7,655457.0,,,,,,,,,,,,,,
2,1,20460507,5000,3,16.0,159614,936800,0.037472,2.244633333,0.4293050420000002,0,0.0,95.7684,132.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.0184581249999995,,0.5305504590000005,0.0002117079999992,0.177294292,0.7080641249999999,0.9999996830317188,0.7820326285698683,3.381994834,3.165799,0.7407910410000005,36.12570095062256,282.17578125,330.93359375,48.7578125,,,,,,,,,,,,,,,0.000706,162.0,18.0,46.0,0.0,0.0232406669999996,0.3593040829999996,0.0949754580000004,0.0471808330000005,0.0042938749999992,eigsh,0.0007626249999992,2295358039.0,0.0232406669999996
2,2,20460508,5000,3,16.0,158185,928528,0.03714112,1.88378090003971,0.3526186000090092,0,0.0,94.911,136.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0331804000306874,eigsh,0.0166635999921709,7.54999928176403e-05,0.0368893999839201,0.0536345000145956,1.0,0.7832360419896309,2.290028000017628,0.640625,0.1017430999781936,31.919245719909668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,20460508,5000,3,16.0,158185,928528,0.03714112,1.0105196250078734,0.19983041699742898,0,0.0,94.911,136.0,159840.03840000002,31.968007680000003,95.90402304000001,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.023648333008168265,,0.35499941700254567,0.00010008300887420774,0.09618962499371264,0.4512965419999091,0.9999996380672524,0.7832210655288803,1.661639167010435,2.5078939999999985,0.482232667010976,35.76842403411865,377.53125,399.53125,22.0,0.004088959001819603,0.22467995798797347,0.05765137499838602,0.06562300000223331,0.0021134579874342307,eigsh,0.0003909579972969368,,,,,,,,,,,,,,,,,,,,,
2,2,20460508,5000,3,16.0,158185,928528,0.03714112,1.88378090003971,0.3526186000090092,0,0.0,94.911,136.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Random sampling,random_sampling,0.0,1.0,1.0,0.0335813000565394,,0.0392139999894425,0.000154500012286,0.035865000099875,0.075241099926643,1.058130566503376,0.8562240156081751,2.311633000150323,0.90625,0.1264480999670922,40.93732070922852,,,,,,,,,,,0.0272150000091642,eigsh,0.0116957999998703,466764.0,326539.0,0.7,649517.0,,,,,,,,,,,,,,
2,2,20460508,5000,3,16.0,158185,928528,0.03714112,2.1577955000000006,0.3971030420000012,0,0.0,94.911,136.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,CountSketch random projection,countsketch_random_projection,0.0,1.0,1.0,0.0177625830000014,,0.5224525420000017,0.0002522079999991,0.0448498330000006,0.5675603749999993,0.9999997163002656,0.7832168988137999,3.1224531250000034,2.389977000000002,0.5958864170000009,35.978736877441406,381.03125,381.76171875,0.73046875,,,,,,,,,,,,,,,0.000670208999999,162.0,17.0,49.0,0.0,0.0186903750000002,0.3589537499999995,0.0903084580000008,0.0482038750000004,0.0040972920000008,eigsh,0.0014226669999999,2807627918.0,0.0186903750000002
2,3,20460509,5000,3,16.0,159817,937708,0.03750832,1.9894512000028044,0.3754992000758648,0,0.0,95.8902,133.0,159840.03840000002,31.968007680000003,95.90402304,0.2498499699939988,2.304e-05,2.56e-06,sparse,Non-random,non_random,0.0,1.0,1.0,0.0326879000058397,eigsh,0.0173214999958872,7.390009704977274e-05,0.0360337999882176,0.0534345000050962,1.0000000000000002,0.7818156431584288,2.418379600159824,0.640625,0.1011833000229671,32.23440074920654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,20460509,5000,3,16.0,159817,937708,0.03750832,0.9028370839951094,0.18395462499756832,0,0.0,95.8902,133.0,159840.03840000002,31.968007680000003,95.90402304000001,0.2498499699939988,2.304e-05,2.56e-06,sparse,Gaussian random projection,gaussian_random_projection,0.0,1.0,1.0,0.01921174999733921,,0.32482516700110864,0.0004975000047124922,0.09660908399382606,0.42193779100489337,0.9999997314985583,0.7817976261453133,1.508723459992325,2.2175089999999997,0.4486262499995064,35.87303447723389,428.171875,434.90625,6.734375,0.003231249997043051,0.22219766699708998,0.04930191700987052,0.04799933300819248,0.0016299169947160408,eigsh,0.00023183299344964325,,,,,,,,,,,,,,,,,,,,,
